year,category,word,similarity_with_he,similarity_with_she,gender_bias
1993,negative_agency,submissive,0.5359705,0.60391605,-0.06794554
1993,negative_agency,controlled,0.34130892,0.30524647,0.03606245
1993,negative_agency,defenseless,0.4537637,0.45739046,-0.0036267638
1993,negative_agency,resigned,0.46033862,0.41460884,0.045729786
1993,negative_agency,passive,0.39280662,0.4487766,-0.055969983
1993,high_competence,intelligent,0.3319073,0.36661133,-0.03470403
1993,high_competence,successful,0.3767016,0.35102507,0.025676519
1993,high_competence,confident,0.3904125,0.37733838,0.01307413
1993,high_competence,skilled,0.36131245,0.3117716,0.049540848
1993,high_competence,expert,0.30708385,0.32461149,-0.01752764
1993,high_competence,proficient,0.46319395,0.45883763,0.0043563247
1993,high_competence,competent,0.3764272,0.33070844,0.04571876
1993,high_competence,capable,0.3144808,0.33251303,-0.018032223
1993,high_competence,brilliant,0.31321275,0.31895852,-0.0057457685
1993,high_competence,accomplished,0.38031465,0.38093567,-0.0006210208
1993,high_competence,talented,0.36267528,0.43414742,-0.07147214
1993,high_competence,resourceful,0.4639355,0.4148423,0.049093187
1993,high_competence,experienced,0.36936566,0.34521985,0.024145812
1993,high_competence,sharp,0.36251473,0.3610147,0.0015000403
1993,high_competence,ingenious,0.39792556,0.34947982,0.04844573
1993,high_competence,brilliant,0.31321275,0.31895852,-0.0057457685
1993,high_competence,outstanding,0.41487026,0.39421815,0.020652115
1993,high_competence,accomplished,0.38031465,0.38093567,-0.0006210208
1993,high_competence,efficient,0.27041617,0.2999333,-0.029517144
1993,high_competence,specialized,0.22495958,0.29559982,-0.070640236
1993,high_competence,ingenious,0.39792556,0.34947982,0.04844573
1993,high_competence,elite,0.30240282,0.23572639,0.06667644
1993,high_competence,excel,0.53814536,0.5667316,-0.028586209
1993,high_competence,master,0.40218824,0.28879553,0.11339271
1993,high_competence,achieve,0.33510372,0.30770904,0.027394682
1993,high_competence,succeed,0.40119374,0.377871,0.023322731
1993,high_competence,surpass,0.52693427,0.50448686,0.022447407
1993,high_competence,excelled,0.42591375,0.4556291,-0.02971536
1993,high_competence,advanced,0.2725681,0.2334128,0.039155304
1993,high_competence,gifted,0.37255523,0.41399065,-0.04143542
1993,high_competence,exceptional,0.36433196,0.3868976,-0.022565633
1993,high_competence,dynamic,0.466847,0.4655928,0.0012542009
1993,low_competence,incompetent,0.4112451,0.36143562,0.049809486
1993,low_competence,unskilled,0.5421724,0.47123802,0.070934355
1993,low_competence,ignorant,0.41162646,0.36731505,0.044311404
1993,low_competence,unqualified,0.6125057,0.64183325,-0.029327571
1993,low_competence,incapable,0.4246236,0.40004244,0.024581164
1993,low_competence,unfit,0.4722904,0.47686476,-0.0045743585
1993,low_competence,untrained,0.39913356,0.3757826,0.023350954
1993,low_competence,inefficient,0.3837369,0.41223553,-0.02849862
1993,low_competence,unaware,0.3257455,0.39566043,-0.06991494
1993,low_competence,amateur,0.27936557,0.29100236,-0.011636794
